x,y,timestamp
0,0,1725025055677
0,0,1725025055706
0,0,1725025055723
0,0,1725025055739
0,0,1725025055756
0,0,1725025055772
0,0,1725025055789
0,0,1725025055806
0,0,1725025055823
0,0,1725025055839
0,0,1725025055856
0,0,1725025055873
0,0,1725025055892
0,0,1725025055907
0,0,1725025055923
0,0,1725025055940
0,0,1725025055956
0,0,1725025055973
0,0,1725025055990
0,0,1725025058990
0,0,1725025059008
0,0,1725025059023
0,0,1725025059045
0,0,1725025059062
0,0,1725025059079
0,0,1725025059095
0,0,1725025059113
0,0,1725025059131
0,0,1725025059145
0,0,1725025059162
0,0,1725025059179
0,0,1725025059196
0,0,1725025059212
0,0,1725025059229
0,0,1725025059248
0,0,1725025059263
0,0,1725025059279
0,0,1725025062279
0,0,1725025062298
0,0,1725025062313
0,0,1725025062335
0,0,1725025062352
0,0,1725025062368
0,0,1725025062385
0,0,1725025062402
0,0,1725025062418
0,0,1725025062435
0,0,1725025062452
0,0,1725025062469
0,0,1725025062486
0,0,1725025062502
0,0,1725025062518
0,0,1725025062535
0,0,1725025062552
0,0,1725025062569
1170,177,1725025065569
1170,177,1725025065591
1170,177,1725025065607
1170,177,1725025068608
1170,177,1725025068625
1170,177,1725025068645
1170,177,1725025068662
1170,177,1725025068680
1170,177,1725025068697
1170,177,1725025071698
1170,177,1725025071715
1170,177,1725025071736
1170,177,1725025071753
1170,177,1725025071769
1170,177,1725025071786
1170,177,1725025074786
1170,177,1725025074808
1170,177,1725025074824
1170,177,1725025074842
1170,177,1725025074859
1170,177,1725025074876
1170,177,1725025077876
1170,177,1725025077893
1170,177,1725025077908
1170,177,1725025077926
1170,177,1725025077948
1170,177,1725025077964
697,603,1725025080964
697,603,1725025080984
697,603,1725025081000
697,603,1725025081020
697,603,1725025081038
697,603,1725025081053
697,603,1725025081070
697,603,1725025081087
697,603,1725025081107
697,603,1725025081120
697,603,1725025081137
697,603,1725025081153
697,603,1725025081170
697,603,1725025081187
697,603,1725025081204
697,603,1725025081221
697,603,1725025081241
697,603,1725025081254
697,603,1725025081270
697,603,1725025081287
697,603,1725025081304
697,603,1725025081321
697,603,1725025081338
697,603,1725025081354
697,603,1725025081371
697,603,1725025081387
697,603,1725025081404
697,603,1725025081420
697,603,1725025081438
697,603,1725025081454
697,603,1725025081472
697,603,1725025081488
697,603,1725025081509
697,603,1725025081521
697,603,1725025081537
697,603,1725025081555
697,603,1725025081575
697,603,1725025081589
697,603,1725025081604
695,603,1725025081621
691,603,1725025081638
685,603,1725025081654
673,603,1725025081671
654,603,1725025081688
643,603,1725025081704
635,603,1725025081722
632,603,1725025081738
632,603,1725025081754
619,603,1725025081772
600,602,1725025081788
585,600,1725025081805
576,599,1725025081821
568,598,1725025081838
562,598,1725025081855
556,596,1725025081871
550,596,1725025081888
545,596,1725025081905
541,596,1725025081922
536,596,1725025081938
527,594,1725025081955
513,593,1725025081971
489,591,1725025081988
472,590,1725025082005
467,589,1725025082022
466,589,1725025082039
461,589,1725025082056
453,589,1725025082072
446,589,1725025082089
440,589,1725025082105
432,589,1725025082122
414,589,1725025082139
397,589,1725025082156
376,589,1725025082172
357,589,1725025082189
338,589,1725025082205
325,589,1725025082222
314,589,1725025082239
309,589,1725025082255
308,589,1725025082272
308,589,1725025082289
307,589,1725025082306
301,589,1725025082322
279,592,1725025082339
263,592,1725025082356
250,592,1725025082372
232,593,1725025082389
219,594,1725025082406
206,594,1725025082422
192,594,1725025082439
176,594,1725025082456
160,594,1725025082473
149,594,1725025082489
141,594,1725025082506
130,594,1725025082523
125,594,1725025082539
121,594,1725025082556
117,594,1725025082573
116,594,1725025082590
116,594,1725025082606
116,594,1725025082624
116,594,1725025082640
116,594,1725025082656
116,594,1725025082673
116,594,1725025082690
116,594,1725025082706
116,594,1725025082723
116,594,1725025082740
113,594,1725025082756
103,591,1725025082773
90,588,1725025082790
85,587,1725025082806
81,584,1725025082824
77,582,1725025082840
75,581,1725025082857
73,580,1725025082873
72,579,1725025082890
70,577,1725025082906
68,572,1725025082923
65,568,1725025082940
63,566,1725025082957
60,562,1725025082974
59,558,1725025082990
58,554,1725025083007
57,548,1725025083024
56,544,1725025083040
55,537,1725025083057
54,530,1725025083074
54,520,1725025083090
54,514,1725025083107
54,507,1725025083124
54,500,1725025083141
54,484,1725025083157
54,463,1725025083174
54,445,1725025083191
54,433,1725025083207
54,426,1725025083224
54,420,1725025083241
54,410,1725025083257
54,401,1725025083274
54,384,1725025083291
57,365,1725025083308
59,357,1725025083324
59,353,1725025083341
61,346,1725025083357
61,326,1725025083374
61,300,1725025083391
61,275,1725025083407
61,260,1725025083424
61,251,1725025083441
61,242,1725025083458
61,221,1725025083475
64,212,1725025083491
65,206,1725025083508
67,197,1725025083525
70,187,1725025083541
73,177,1725025083558
75,170,1725025083575
78,157,1725025083591
81,146,1725025083608
83,138,1725025083625
85,131,1725025083642
87,129,1725025083658
91,121,1725025083675
95,117,1725025083692
96,115,1725025083708
96,114,1725025083725
96,114,1725025083741
98,114,1725025083758
99,112,1725025083775
103,111,1725025083792
105,109,1725025083808
107,107,1725025083825
110,106,1725025083842
113,103,1725025083858
120,99,1725025083875
127,97,1725025083892
138,93,1725025083909
147,91,1725025083925
153,89,1725025083942
154,89,1725025083958
156,89,1725025083976
156,89,1725025083992
156,89,1725025084009
156,89,1725025084026
156,89,1725025084042
157,89,1725025084059
160,87,1725025084075
164,87,1725025084092
168,86,1725025084109
171,85,1725025084126
176,85,1725025084142
181,83,1725025084159
187,83,1725025084176
192,83,1725025084192
197,83,1725025084209
206,83,1725025084226
223,84,1725025084243
232,86,1725025084260
237,88,1725025084276
242,90,1725025084293
246,92,1725025084309
251,95,1725025084326
255,98,1725025084343
259,100,1725025084360
263,103,1725025084376
267,106,1725025084393
270,109,1725025084409
272,111,1725025084426
272,111,1725025084443
273,112,1725025084460
274,116,1725025084476
276,120,1725025084493
277,124,1725025084510
278,127,1725025084526
278,130,1725025084543
278,134,1725025084560
278,139,1725025084576
278,145,1725025084593
278,151,1725025084610
278,160,1725025084627
278,167,1725025084643
278,174,1725025084660
278,179,1725025084677
278,185,1725025084693
278,189,1725025084710
278,194,1725025084727
276,198,1725025084743
275,201,1725025084760
273,205,1725025084777
271,209,1725025084794
265,215,1725025084811
261,219,1725025084827
258,222,1725025084843
256,224,1725025084860
256,224,1725025084877
256,225,1725025084893
253,228,1725025084910
249,233,1725025084927
244,239,1725025084944
238,245,1725025084961
231,252,1725025084977
226,259,1725025084994
215,270,1725025085011
211,278,1725025085028
206,288,1725025085044
202,297,1725025085061
199,303,1725025085077
195,308,1725025085094
193,312,1725025085111
191,318,1725025085127
188,326,1725025085144
187,332,1725025085161
186,337,1725025085178
184,343,1725025085194
184,347,1725025085211
183,351,1725025085228
182,356,1725025085245
182,360,1725025085261
180,360,1725025085278
180,360,1725025085294
180,360,1725025085311
180,360,1725025085328
180,361,1725025085344
180,363,1725025085361
180,367,1725025085378
180,373,1725025085395
180,382,1725025085411
180,388,1725025085428
180,392,1725025085445
180,395,1725025085461
180,397,1725025085478
180,400,1725025085495
180,402,1725025085512
181,406,1725025085529
185,413,1725025085545
190,423,1725025085562
194,428,1725025085578
201,437,1725025085595
